,lab
1739,GIA
1740,GIA
1741,GIA
1742,GIA
1743,GIA
1744,GIA
1745,GIA
1746,GIA
1747,GIA
1748,GIA
1749,GIA
1750,GIA
1751,GIA
1752,GIA
1753,GIA
1754,GIA
1755,GIA
1756,GIA
1757,GIA
1758,GIA
1759,GIA
1760,GIA
1761,GIA
1762,GIA
1763,GIA
1764,GIA
1765,GIA
1766,GIA
1767,GIA
1768,GIA
1769,GIA
1770,GIA
1771,GIA
1772,IGI
1773,GIA
1774,GIA
1775,GIA
1776,GIA
1777,GIA
1778,IGI
1779,IGI
1780,IGI
1781,IGI
1782,IGI
1783,IGI
1784,IGI
1785,IGI
1786,IGI
1787,IGI
1788,IGI
1789,GIA
1790,IGI
1791,IGI
1792,IGI
1793,IGI
1794,GIA
1795,GIA
1796,GIA
1797,GIA
1798,HRD
1799,GIA
1800,GIA
1801,GIA
1802,GIA
1803,GIA
1804,GIA
1805,GIA
1806,IGI
1807,GIA
1808,GIA
1809,GIA
1810,GIA
1811,GIA
1812,GIA
1813,GIA
1814,GIA
1815,GIA
1816,GIA
1817,GIA
1818,GIA
1819,GIA
1820,GIA
1821,GIA
1822,GIA
1823,GIA
1824,GIA
1825,GIA
1826,GIA
1827,GIA
1828,GIA
1829,GIA
1830,GIA
1831,IGI
1832,IGI
1833,IGI
1834,GIA
1835,GIA
1836,GIA
1837,GIA
1838,GIA
1839,GIA
1840,GIA
1841,GIA
1842,GIA
1843,GIA
1844,IGI
1845,IGI
1846,IGI
1847,IGI
1848,IGI
1849,GIA
1850,GIA
1851,GIA
1852,GIA
1853,GIA
1854,GIA
1855,GIA
1856,GIA
1857,GIA
1858,GIA
1859,GIA
1860,GIA
1861,GIA
1862,GIA
1863,GIA
1864,GIA
1865,GIA
1866,GIA
1867,GIA
1868,GIA
1869,GIA
1870,GIA
1871,GIA
1872,GIA
1873,GIA
1874,GIA
1875,GIA
1876,GIA
1877,GIA
1878,GIA
1879,GIA
1880,GIA
1881,GIA
1882,GIA
1883,GIA
1884,GIA
1885,GIA
1886,IGI
1887,IGI
1888,GIA
1889,GIA
1890,GIA
1891,IGI
1892,GIA
1893,GIA
1894,GIA
1895,GIA
1896,GIA
1897,GIA
1898,GIA
1899,GIA
1900,GIA
1901,GIA
1902,GIA
1903,IGI
1904,IGI
1905,IGI
1906,GIA
1907,IGI
1908,IGI
1909,IGI
1910,IGI
1911,IGI
1912,IGI
1913,IGI
1914,GIA
1915,GIA
1916,IGI
1917,GIA
1918,GIA
1919,GIA
1920,GIA
1921,GIA
1922,GIA
1923,GIA
1924,GIA
1925,GIA
1926,GIA
1927,GIA
